py5_name,processing_name,decorator,type,implementation_from_processing,available_in_py5,comments
X,X,,static field,FALSE,FALSE,
Y,Y,,static field,FALSE,FALSE,
Z,Z,,static field,FALSE,FALSE,
JAVA2D,JAVA2D,,static field,FALSE,FALSE,
P2D,P2D,,static field,FALSE,FALSE,
P3D,P3D,,static field,FALSE,FALSE,
OPENGL,OPENGL,,static field,FALSE,FALSE,
FX2D,FX2D,,static field,FALSE,FALSE,
PDF,PDF,,static field,FALSE,FALSE,
SVG,SVG,,static field,FALSE,FALSE,
DXF,DXF,,static field,FALSE,FALSE,
OTHER,OTHER,,static field,FALSE,FALSE,
WINDOWS,WINDOWS,,static field,FALSE,FALSE,
MACOS,MACOS,,static field,FALSE,FALSE,
LINUX,LINUX,,static field,FALSE,FALSE,
MACOSX,MACOSX,,static field,FALSE,FALSE,deprecated
platformNames,platformNames,,static field,FALSE,FALSE,
EPSILON,EPSILON,,static field,FALSE,FALSE,
MAX_FLOAT,MAX_FLOAT,,static field,FALSE,FALSE,
MIN_FLOAT,MIN_FLOAT,,static field,FALSE,FALSE,
MAX_INT,MAX_INT,,static field,FALSE,FALSE,
MIN_INT,MIN_INT,,static field,FALSE,FALSE,
VERTEX,VERTEX,,static field,FALSE,FALSE,
BEZIER_VERTEX,BEZIER_VERTEX,,static field,FALSE,FALSE,
QUADRATIC_VERTEX,QUADRATIC_VERTEX,,static field,FALSE,FALSE,
CURVE_VERTEX,CURVE_VERTEX,,static field,FALSE,FALSE,
BREAK,BREAK,,static field,FALSE,FALSE,
QUAD_BEZIER_VERTEX,QUAD_BEZIER_VERTEX,,static field,FALSE,FALSE,
PI,PI,,static field,FALSE,FALSE,
HALF_PI,HALF_PI,,static field,FALSE,FALSE,
THIRD_PI,THIRD_PI,,static field,FALSE,FALSE,
QUARTER_PI,QUARTER_PI,,static field,FALSE,FALSE,
TWO_PI,TWO_PI,,static field,FALSE,FALSE,
TAU,TAU,,static field,FALSE,FALSE,
DEG_TO_RAD,DEG_TO_RAD,,static field,FALSE,FALSE,
RAD_TO_DEG,RAD_TO_DEG,,static field,FALSE,FALSE,
WHITESPACE,WHITESPACE,,static field,FALSE,FALSE,
RGB,RGB,,static field,TRUE,TRUE,
ARGB,ARGB,,static field,TRUE,TRUE,
HSB,HSB,,static field,TRUE,TRUE,
ALPHA,ALPHA,,static field,TRUE,TRUE,
TIFF,TIFF,,static field,TRUE,TRUE,
TARGA,TARGA,,static field,TRUE,TRUE,
JPEG,JPEG,,static field,TRUE,TRUE,
GIF,GIF,,static field,TRUE,TRUE,
BLUR,BLUR,,static field,TRUE,TRUE,
GRAY,GRAY,,static field,TRUE,TRUE,
INVERT,INVERT,,static field,TRUE,TRUE,
OPAQUE,OPAQUE,,static field,TRUE,TRUE,
POSTERIZE,POSTERIZE,,static field,TRUE,TRUE,
THRESHOLD,THRESHOLD,,static field,TRUE,TRUE,
ERODE,ERODE,,static field,TRUE,TRUE,
DILATE,DILATE,,static field,TRUE,TRUE,
REPLACE,REPLACE,,static field,TRUE,TRUE,
BLEND,BLEND,,static field,TRUE,TRUE,
ADD,ADD,,static field,TRUE,TRUE,
SUBTRACT,SUBTRACT,,static field,TRUE,TRUE,
LIGHTEST,LIGHTEST,,static field,TRUE,TRUE,
DARKEST,DARKEST,,static field,TRUE,TRUE,
DIFFERENCE,DIFFERENCE,,static field,TRUE,TRUE,
EXCLUSION,EXCLUSION,,static field,TRUE,TRUE,
MULTIPLY,MULTIPLY,,static field,TRUE,TRUE,
SCREEN,SCREEN,,static field,TRUE,TRUE,
OVERLAY,OVERLAY,,static field,TRUE,TRUE,
HARD_LIGHT,HARD_LIGHT,,static field,TRUE,TRUE,
SOFT_LIGHT,SOFT_LIGHT,,static field,TRUE,TRUE,
DODGE,DODGE,,static field,TRUE,TRUE,
BURN,BURN,,static field,TRUE,TRUE,
CHATTER,CHATTER,,static field,FALSE,FALSE,
COMPLAINT,COMPLAINT,,static field,FALSE,FALSE,
PROBLEM,PROBLEM,,static field,FALSE,FALSE,
PROJECTION,PROJECTION,,static field,FALSE,FALSE,
MODELVIEW,MODELVIEW,,static field,FALSE,FALSE,
CUSTOM,CUSTOM,,static field,FALSE,FALSE,
ORTHOGRAPHIC,ORTHOGRAPHIC,,static field,FALSE,FALSE,
PERSPECTIVE,PERSPECTIVE,,static field,FALSE,FALSE,
GROUP,GROUP,,static field,FALSE,FALSE,
POINT,POINT,,static field,FALSE,FALSE,
POINTS,POINTS,,static field,FALSE,FALSE,
LINE,LINE,,static field,FALSE,FALSE,
LINES,LINES,,static field,FALSE,FALSE,
LINE_STRIP,LINE_STRIP,,static field,FALSE,FALSE,
LINE_LOOP,LINE_LOOP,,static field,FALSE,FALSE,
TRIANGLE,TRIANGLE,,static field,FALSE,FALSE,
TRIANGLES,TRIANGLES,,static field,FALSE,FALSE,
TRIANGLE_STRIP,TRIANGLE_STRIP,,static field,FALSE,FALSE,
TRIANGLE_FAN,TRIANGLE_FAN,,static field,FALSE,FALSE,
QUAD,QUAD,,static field,FALSE,FALSE,
QUADS,QUADS,,static field,FALSE,FALSE,
QUAD_STRIP,QUAD_STRIP,,static field,FALSE,FALSE,
POLYGON,POLYGON,,static field,FALSE,FALSE,
PATH,PATH,,static field,FALSE,FALSE,
RECT,RECT,,static field,FALSE,FALSE,
ELLIPSE,ELLIPSE,,static field,FALSE,FALSE,
ARC,ARC,,static field,FALSE,FALSE,
SPHERE,SPHERE,,static field,FALSE,FALSE,
BOX,BOX,,static field,FALSE,FALSE,
OPEN,OPEN,,static field,FALSE,FALSE,
CLOSE,CLOSE,,static field,FALSE,FALSE,
CORNER,CORNER,,static field,FALSE,FALSE,
CORNERS,CORNERS,,static field,FALSE,FALSE,
RADIUS,RADIUS,,static field,FALSE,FALSE,
CENTER,CENTER,,static field,FALSE,FALSE,
DIAMETER,DIAMETER,,static field,FALSE,FALSE,
CHORD,CHORD,,static field,FALSE,FALSE,
PIE,PIE,,static field,FALSE,FALSE,
BASELINE,BASELINE,,static field,FALSE,FALSE,
TOP,TOP,,static field,FALSE,FALSE,
BOTTOM,BOTTOM,,static field,FALSE,FALSE,
NORMAL,NORMAL,,static field,FALSE,FALSE,
IMAGE,IMAGE,,static field,FALSE,FALSE,
CLAMP,CLAMP,,static field,FALSE,FALSE,
REPEAT,REPEAT,,static field,FALSE,FALSE,
MODEL,MODEL,,static field,FALSE,FALSE,
SHAPE,SHAPE,,static field,FALSE,FALSE,
SQUARE,SQUARE,,static field,FALSE,FALSE,
ROUND,ROUND,,static field,FALSE,FALSE,
PROJECT,PROJECT,,static field,FALSE,FALSE,
MITER,MITER,,static field,FALSE,FALSE,
BEVEL,BEVEL,,static field,FALSE,FALSE,
AMBIENT,AMBIENT,,static field,FALSE,FALSE,
DIRECTIONAL,DIRECTIONAL,,static field,FALSE,FALSE,
SPOT,SPOT,,static field,FALSE,FALSE,
BACKSPACE,BACKSPACE,,static field,FALSE,FALSE,
TAB,TAB,,static field,FALSE,FALSE,
ENTER,ENTER,,static field,FALSE,FALSE,
