py5_name,java_name,decorator,type,implementation,comments
X,X,,static field,SKIP,
Y,Y,,static field,SKIP,
Z,Z,,static field,SKIP,
JAVA2D,JAVA2D,,static field,SKIP,
P2D,P2D,,static field,SKIP,
P3D,P3D,,static field,SKIP,
OPENGL,OPENGL,,static field,SKIP,
FX2D,FX2D,,static field,SKIP,
PDF,PDF,,static field,SKIP,
SVG,SVG,,static field,SKIP,
DXF,DXF,,static field,SKIP,
OTHER,OTHER,,static field,SKIP,
WINDOWS,WINDOWS,,static field,SKIP,
MACOS,MACOS,,static field,SKIP,
LINUX,LINUX,,static field,SKIP,
MACOSX,MACOSX,,static field,SKIP,
platformNames,platformNames,,static field,SKIP,
EPSILON,EPSILON,,static field,SKIP,
MAX_FLOAT,MAX_FLOAT,,static field,SKIP,
MIN_FLOAT,MIN_FLOAT,,static field,SKIP,
MAX_INT,MAX_INT,,static field,SKIP,
MIN_INT,MIN_INT,,static field,SKIP,
VERTEX,VERTEX,,static field,JAVA,
BEZIER_VERTEX,BEZIER_VERTEX,,static field,JAVA,
QUADRATIC_VERTEX,QUADRATIC_VERTEX,,static field,JAVA,
CURVE_VERTEX,CURVE_VERTEX,,static field,JAVA,
BREAK,BREAK,,static field,JAVA,
QUAD_BEZIER_VERTEX,QUAD_BEZIER_VERTEX,,static field,JAVA,
PI,PI,,static field,SKIP,
HALF_PI,HALF_PI,,static field,SKIP,
THIRD_PI,THIRD_PI,,static field,SKIP,
QUARTER_PI,QUARTER_PI,,static field,SKIP,
TWO_PI,TWO_PI,,static field,SKIP,
TAU,TAU,,static field,SKIP,
DEG_TO_RAD,DEG_TO_RAD,,static field,SKIP,
RAD_TO_DEG,RAD_TO_DEG,,static field,SKIP,
WHITESPACE,WHITESPACE,,static field,SKIP,
RGB,RGB,,static field,JAVA,
ARGB,ARGB,,static field,SKIP,
HSB,HSB,,static field,JAVA,
ALPHA,ALPHA,,static field,SKIP,
TIFF,TIFF,,static field,SKIP,
TARGA,TARGA,,static field,SKIP,
JPEG,JPEG,,static field,SKIP,
GIF,GIF,,static field,SKIP,
BLUR,BLUR,,static field,SKIP,
GRAY,GRAY,,static field,SKIP,
INVERT,INVERT,,static field,SKIP,
OPAQUE,OPAQUE,,static field,SKIP,
POSTERIZE,POSTERIZE,,static field,SKIP,
THRESHOLD,THRESHOLD,,static field,SKIP,
ERODE,ERODE,,static field,SKIP,
DILATE,DILATE,,static field,SKIP,
REPLACE,REPLACE,,static field,SKIP,
BLEND,BLEND,,static field,SKIP,
ADD,ADD,,static field,SKIP,
SUBTRACT,SUBTRACT,,static field,SKIP,
LIGHTEST,LIGHTEST,,static field,SKIP,
DARKEST,DARKEST,,static field,SKIP,
DIFFERENCE,DIFFERENCE,,static field,SKIP,
EXCLUSION,EXCLUSION,,static field,SKIP,
MULTIPLY,MULTIPLY,,static field,SKIP,
SCREEN,SCREEN,,static field,SKIP,
OVERLAY,OVERLAY,,static field,SKIP,
HARD_LIGHT,HARD_LIGHT,,static field,SKIP,
SOFT_LIGHT,SOFT_LIGHT,,static field,SKIP,
DODGE,DODGE,,static field,SKIP,
BURN,BURN,,static field,SKIP,
CHATTER,CHATTER,,static field,SKIP,
COMPLAINT,COMPLAINT,,static field,SKIP,
PROBLEM,PROBLEM,,static field,SKIP,
PROJECTION,PROJECTION,,static field,SKIP,
MODELVIEW,MODELVIEW,,static field,SKIP,
CUSTOM,CUSTOM,,static field,SKIP,
ORTHOGRAPHIC,ORTHOGRAPHIC,,static field,SKIP,
PERSPECTIVE,PERSPECTIVE,,static field,SKIP,
GROUP,GROUP,,static field,JAVA,
POINT,POINT,,static field,JAVA,
POINTS,POINTS,,static field,JAVA,
LINE,LINE,,static field,JAVA,
LINES,LINES,,static field,JAVA,
LINE_STRIP,LINE_STRIP,,static field,JAVA,
LINE_LOOP,LINE_LOOP,,static field,JAVA,
TRIANGLE,TRIANGLE,,static field,JAVA,
TRIANGLES,TRIANGLES,,static field,JAVA,
TRIANGLE_STRIP,TRIANGLE_STRIP,,static field,JAVA,
TRIANGLE_FAN,TRIANGLE_FAN,,static field,JAVA,
QUAD,QUAD,,static field,JAVA,
QUADS,QUADS,,static field,JAVA,
QUAD_STRIP,QUAD_STRIP,,static field,JAVA,
POLYGON,POLYGON,,static field,JAVA,
PATH,PATH,,static field,JAVA,
RECT,RECT,,static field,JAVA,
ELLIPSE,ELLIPSE,,static field,JAVA,
ARC,ARC,,static field,JAVA,
SPHERE,SPHERE,,static field,JAVA,
BOX,BOX,,static field,JAVA,
OPEN,OPEN,,static field,SKIP,
CLOSE,CLOSE,,static field,JAVA,
CORNER,CORNER,,static field,SKIP,
CORNERS,CORNERS,,static field,SKIP,
RADIUS,RADIUS,,static field,SKIP,
CENTER,CENTER,,static field,SKIP,
DIAMETER,DIAMETER,,static field,SKIP,
CHORD,CHORD,,static field,SKIP,
PIE,PIE,,static field,SKIP,
BASELINE,BASELINE,,static field,SKIP,
TOP,TOP,,static field,SKIP,
BOTTOM,BOTTOM,,static field,SKIP,
NORMAL,NORMAL,,static field,SKIP,
IMAGE,IMAGE,,static field,SKIP,
CLAMP,CLAMP,,static field,SKIP,
REPEAT,REPEAT,,static field,SKIP,
MODEL,MODEL,,static field,SKIP,
SHAPE,SHAPE,,static field,SKIP,
SQUARE,SQUARE,,static field,JAVA,
